X, Y
1394, 6042
1389, 6046
1397, 6049
1403, 6052
1411, 6054
1422, 6055
1434, 6057
1446, 6058
1458, 6058
1472, 6056
1465, 6056
1482, 6052
1491, 6049
-1, -1
1509, 6008
1505, 6000
1501, 5991
1497, 5983
1490, 5976
1483, 5970
1476, 5967
1469, 5967
1461, 5973
1455, 5979
1451, 5986
1446, 5999
1441, 6014
1436, 6031
1431, 6051
1430, 6068
1427, 6086
1426, 6103
1426, 6121
1426, 6139
1426, 6154
1426, 6167
1427, 6177
1428, 6183
1438, 6186
-1, -1
1568, 6064
1577, 6064
1587, 6064
1597, 6064
1611, 6064
1626, 6064
1640, 6064
1654, 6063
1668, 6061
1679, 6058
1689, 6053
1693, 6048
-1, -1
1687, 6021
1679, 6021
1671, 6024
1666, 6028
1659, 6035
1655, 6048
1651, 6057
1648, 6072
1644, 6089
1642, 6106
1638, 6124
1635, 6142
1634, 6159
1631, 6173
1631, 6186
1631, 6196
1631, 6238
1634, 6216
-1, -1
1739, 6156
1745, 6151
1755, 6144
1764, 6140
1771, 6136
1781, 6131
1788, 6127
1794, 6123
1800, 6120
1806, 6115
1806, 6108
1798, 6104
1788, 6107
1780, 6112
1774, 6119
1770, 6126
1764, 6134
1762, 6144
1762, 6154
1762, 6162
1764, 6171
1766, 6178
1769, 6185
1772, 6191
1779, 6191
1783, 6186
-1, -1
1857, 6130
1860, 6136
1862, 6144
1862, 6152
1864, 6160
1864, 6169
1864, 6176
1865, 6183
1865, 6189
1871, 6186
1878, 6177
1883, 6168
1889, 6161
1896, 6153
1903, 6146
1910, 6138
1917, 6133
1923, 6129
1929, 6125
1935, 6123
1941, 6130
1944, 6137
1946, 6145
1949, 6154
1950, 6162
1951, 6172
1952, 6182
1952, 6189
1953, 6195
-1, -1
2358, 6127
2351, 6129
2348, 6136
2348, 6143
2350, 6151
2353, 6161
2356, 6171
2361, 6184
2365, 6193
2369, 6201
2372, 6209
2376, 6217
2379, 6223
2385, 6223
-1, -1
2449, 6163
2452, 6157
2448, 6167
2443, 6179
2435, 6195
2427, 6212
2418, 6235
2407, 6258
2396, 6281
2385, 6303
2376, 6320
2367, 6337
2359, 6349
2355, 6356
2353, 6363
2357, 6306
2364, 6326
-1, -1
2511, 6189
2507, 6195
2507, 6201
2507, 6208
2508, 6215
2511, 6221
2514, 6226
2520, 6228
2527, 6229
2534, 6227
2542, 6224
2552, 6218
2561, 6211
2570, 6203
2577, 6195
2580, 6186
2583, 6175
2583, 6165
2579, 6157
2575, 6150
2564, 6145
2555, 6144
2545, 6145
2536, 6148
2528, 6151
2521, 6157
2528, 6162
-1, -1
2647, 6128
2647, 6136
2649, 6144
2650, 6152
2653, 6161
2658, 6168
2663, 6175
2669, 6180
2676, 6183
2684, 6186
2691, 6186
2701, 6185
2711, 6181
2724, 6172
2738, 6161
2751, 6150
2763, 6138
2774, 6127
2781, 6119
2788, 6113
2794, 6109
2797, 6114
2797, 6122
2800, 6132
2803, 6143
2803, 6154
2806, 6164
2809, 6173
2811, 6180
2813, 6187
-1, -1
3180, 6027
3183, 6019
3185, 6012
3189, 6015
3191, 6022
3191, 6031
3194, 6041
3194, 6054
3196, 6069
3197, 6085
3199, 6105
3199, 6126
3201, 6144
3202, 6162
3202, 6178
3205, 6191
3207, 6198
3207, 6205
3210, 6200
3216, 6192
3219, 6181
3225, 6168
3230, 6156
3238, 6143
3244, 6132
3248, 6123
3252, 6116
3256, 6112
3261, 6108
3268, 6107
3276, 6111
3281, 6114
3286, 6123
3291, 6133
3295, 6143
3298, 6154
3300, 6164
3303, 6173
3305, 6180
3307, 6186
-1, -1
3415, 6129
3418, 6121
3421, 6115
3424, 6107
3426, 6100
3428, 6093
3429, 6085
3427, 6078
3419, 6079
3414, 6082
3407, 6089
3400, 6098
3396, 6108
3392, 6121
3388, 6133
3388, 6144
3388, 6153
3389, 6161
3392, 6165
3399, 6166
3406, 6162
3413, 6155
3420, 6145
3427, 6135
3434, 6124
3441, 6112
3446, 6103
3449, 6095
3453, 6090
3454, 6096
3454, 6104
3454, 6111
3454, 6120
3456, 6128
3458, 6137
3459, 6143
3461, 6150
3469, 6148
3475, 6146
-1, -1
3526, 6106
3529, 6116
3532, 6123
3535, 6131
3539, 6141
3542, 6149
3547, 6157
3552, 6163
